local_authority_highway_Id,Local_Highway_Authority_Name,Type,Type
S12000026,Scottish Borders,acc,LAHighway
E08000014,Sefton,acc,LAHighway
E08000019,Sheffield,acc,LAHighway
S12000027,Shetland Islands,acc,LAHighway
E06000051,Shropshire,acc,LAHighway
E06000039,Slough,acc,LAHighway
E08000029,Solihull,acc,LAHighway
E10000027,Somerset,acc,LAHighway
S12000028,South Ayrshire,acc,LAHighway
E06000025,South Gloucestershire,acc,LAHighway
S12000029,South Lanarkshire,acc,LAHighway
E08000023,South Tyneside,acc,LAHighway
E06000045,Southampton ,acc,LAHighway
E06000033,Southend-on-Sea,acc,LAHighway
E09000028,Southwark,acc,LAHighway
E08000013,St. Helens,acc,LAHighway
E10000028,Staffordshire,acc,LAHighway
S12000030,Stirling,acc,LAHighway
E08000007,Stockport,acc,LAHighway
E06000004,Stockton-on-Tees,acc,LAHighway
E06000021,Stoke-on-Trent,acc,LAHighway
E10000029,Suffolk,acc,LAHighway
E08000024,Sunderland,acc,LAHighway
E10000030,Surrey,acc,LAHighway
E09000029,Sutton,acc,LAHighway
W06000011,Swansea,acc,LAHighway
E06000030,Swindon,acc,LAHighway
E08000008,Tameside,acc,LAHighway
E06000020,Telford and Wrekin,acc,LAHighway
W06000014,The Vale of Glamorgan,acc,LAHighway
E06000034,Thurrock,acc,LAHighway
E06000027,Torbay,acc,LAHighway
W06000020,Torfaen,acc,LAHighway
E09000030,Tower Hamlets,acc,LAHighway
E08000009,Trafford,acc,LAHighway
E08000036,Wakefield,acc,LAHighway
E08000030,Walsall,acc,LAHighway
E09000031,Waltham Forest,acc,LAHighway
E09000032,Wandsworth,acc,LAHighway
E06000007,Warrington,acc,LAHighway
E10000031,Warwickshire,acc,LAHighway
E06000037,Berkshire,acc,LAHighway
S12000039,West Dunbartonshire,acc,LAHighway
S12000040,West Lothian,acc,LAHighway
E10000032,West Sussex,acc,LAHighway
E09000033,Westminster,acc,LAHighway
E08000010,Wigan,acc,LAHighway
E06000054,Wiltshire,acc,LAHighway
E06000040,Windsor and Maidenhead,acc,LAHighway
E08000015,Wirral,acc,LAHighway
E06000041,Berkshire,acc,LAHighway
E08000031,Wolverhampton,acc,LAHighway
E10000034,Worcestershire,acc,LAHighway
W06000006,Wrexham,acc,LAHighway
E06000014,York,acc,LAHighway
-1,Unknown,acc,LAHighway
